"m_id","m_contenu","m_date","m_auteur_fk","m_conversation_fk","u_id","u_login","u_prenom","u_nom","u_date_naissance","u_date_inscription","u_rang_fk","r_id","r_libelle","c_id","c_date","c_termine"
"1039","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis","2012-06-11 20:57:47","2","6","2","Sed.nunc.est@nonluctussit.com","Justine","Santos","1971-09-10","2010-05-09 14:45:07","2","2","admin","6","2009-03-05 00:00:00","0"
"1371","Suspendisse dui. Fusce diam nunc, ullamcorper eu, euismod ac, fermentum vel, mauris. Integer sem elit, pharetra ut, pharetra sed, hendrerit a, arcu. Sed et libero. Proin","2011-11-13 19:48:37","2","13","2","Sed.nunc.est@nonluctussit.com","Justine","Santos","1971-09-10","2010-05-09 14:45:07","2","2","admin","13","2010-07-23 11:27:10","0"
"1482","dictum cursus. Nunc mauris elit, dictum eu, eleifend nec, malesuada ut, sem. Nulla interdum. Curabitur dictum. Phasellus in","2013-06-28 17:52:46","2","10","2","Sed.nunc.est@nonluctussit.com","Justine","Santos","1971-09-10","2010-05-09 14:45:07","2","2","admin","10","2011-03-31 05:58:52","0"
"1729","urna justo faucibus lectus, a sollicitudin orci sem eget massa. Suspendisse eleifend. Cras sed leo. Cras vehicula aliquet libero. Integer in magna. Phasellus dolor elit,","2013-09-15 11:06:48","2","9","2","Sed.nunc.est@nonluctussit.com","Justine","Santos","1971-09-10","2010-05-09 14:45:07","2","2","admin","9","2009-08-27 15:14:05","0"
"1741","nonummy ultricies ornare, elit elit fermentum risus, at fringilla purus mauris a","2010-05-19 18:47:06","2","12","2","Sed.nunc.est@nonluctussit.com","Justine","Santos","1971-09-10","2010-05-09 14:45:07","2","2","admin","12","2009-01-30 14:10:00","0"
"1839","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis","2012-06-11 20:57:47","2","6","2","Sed.nunc.est@nonluctussit.com","Justine","Santos","1971-09-10","2010-05-09 14:45:07","2","2","admin","6","2009-03-05 00:00:00","0"
"846","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet","2014-04-26 12:57:01","35","5","35","pede.Praesent.eu@eutelluseu.ed","Nolan","Porter","2010-02-28","2010-06-12 08:37:27","2","2","admin","5","2010-03-05 00:00:00","0"
"1024","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna","2011-08-26 22:09:50","35","5","35","pede.Praesent.eu@eutelluseu.ed","Nolan","Porter","2010-02-28","2010-06-12 08:37:27","2","2","admin","5","2010-03-05 00:00:00","0"
"1159","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis at lacus. Quisque purus sapien, gravida non,","2011-09-16 19:59:10","35","6","35","pede.Praesent.eu@eutelluseu.ed","Nolan","Porter","2010-02-28","2010-06-12 08:37:27","2","2","admin","6","2009-03-05 00:00:00","0"
"1200","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis at lacus. Quisque purus","2011-07-20 16:02:31","35","6","35","pede.Praesent.eu@eutelluseu.ed","Nolan","Porter","2010-02-28","2010-06-12 08:37:27","2","2","admin","6","2009-03-05 00:00:00","0"
"1235","aliquam eu, accumsan sed, facilisis vitae, orci. Phasellus dapibus quam quis diam. Pellentesque habitant morbi tristique senectus et","2014-01-18 07:56:23","35","10","35","pede.Praesent.eu@eutelluseu.ed","Nolan","Porter","2010-02-28","2010-06-12 08:37:27","2","2","admin","10","2011-03-31 05:58:52","0"
"1355","pede, nonummy ut, molestie in, tempus eu, ligula. Aenean euismod","2009-07-25 06:22:25","35","12","35","pede.Praesent.eu@eutelluseu.ed","Nolan","Porter","2010-02-28","2010-06-12 08:37:27","2","2","admin","12","2009-01-30 14:10:00","0"
"1362","facilisis. Suspendisse commodo tincidunt nibh. Phasellus nulla. Integer vulputate, risus a ultricies adipiscing, enim mi tempor lorem, eget mollis lectus pede et risus. Quisque libero lacus, varius","2009-11-03 13:18:32","35","10","35","pede.Praesent.eu@eutelluseu.ed","Nolan","Porter","2010-02-28","2010-06-12 08:37:27","2","2","admin","10","2011-03-31 05:58:52","0"
"1448","eu, eleifend nec, malesuada ut, sem. Nulla interdum. Curabitur dictum. Phasellus in felis. Nulla tempor","2010-04-30 11:19:47","35","13","35","pede.Praesent.eu@eutelluseu.ed","Nolan","Porter","2010-02-28","2010-06-12 08:37:27","2","2","admin","13","2010-07-23 11:27:10","0"
"1464","per conubia nostra, per inceptos hymenaeos. Mauris ut quam vel sapien imperdiet ornare. In faucibus. Morbi vehicula. Pellentesque","2013-10-08 05:46:46","35","13","35","pede.Praesent.eu@eutelluseu.ed","Nolan","Porter","2010-02-28","2010-06-12 08:37:27","2","2","admin","13","2010-07-23 11:27:10","0"
"1493","Aliquam auctor, velit eget laoreet posuere, enim nisl elementum purus, accumsan","2013-04-03 03:56:43","35","13","35","pede.Praesent.eu@eutelluseu.ed","Nolan","Porter","2010-02-28","2010-06-12 08:37:27","2","2","admin","13","2010-07-23 11:27:10","0"
"1628","ac turpis egestas. Fusce aliquet magna a neque. Nullam ut nisi a odio semper cursus. Integer mollis. Integer tincidunt aliquam arcu. Aliquam ultrices iaculis odio. Nam interdum","2013-11-27 16:50:32","35","12","35","pede.Praesent.eu@eutelluseu.ed","Nolan","Porter","2010-02-28","2010-06-12 08:37:27","2","2","admin","12","2009-01-30 14:10:00","0"
"1665","tempus non, lacinia at, iaculis quis, pede. Praesent eu dui. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus","2013-11-10 02:40:22","35","9","35","pede.Praesent.eu@eutelluseu.ed","Nolan","Porter","2010-02-28","2010-06-12 08:37:27","2","2","admin","9","2009-08-27 15:14:05","0"
"1824","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna","2011-08-26 22:09:50","35","5","35","pede.Praesent.eu@eutelluseu.ed","Nolan","Porter","2010-02-28","2010-06-12 08:37:27","2","2","admin","5","2010-03-05 00:00:00","0"
"1959","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis at lacus. Quisque purus sapien, gravida non,","2011-09-16 19:59:10","35","6","35","pede.Praesent.eu@eutelluseu.ed","Nolan","Porter","2010-02-28","2010-06-12 08:37:27","2","2","admin","6","2009-03-05 00:00:00","0"
"2000","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis at lacus. Quisque purus","2011-07-20 16:02:31","35","6","35","pede.Praesent.eu@eutelluseu.ed","Nolan","Porter","2010-02-28","2010-06-12 08:37:27","2","2","admin","6","2009-03-05 00:00:00","0"
"922","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis","2012-04-01 09:29:54","37","6","37","Nullam.vitae@Fuscefermentum.ed","Gray","Weiss","1979-07-21","2010-09-07 00:06:40","2","2","admin","6","2009-03-05 00:00:00","0"
"1093","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","2010-01-31 09:39:39","37","7","37","Nullam.vitae@Fuscefermentum.ed","Gray","Weiss","1979-07-21","2010-09-07 00:06:40","2","2","admin","7","2009-08-20 00:00:00","0"
"1340","gravida. Praesent eu nulla at sem molestie sodales. Mauris blandit enim consequat purus. Maecenas libero est, congue a, aliquet vel, vulputate eu, odio. Phasellus at augue id","2012-12-25 05:26:43","37","11","37","Nullam.vitae@Fuscefermentum.ed","Gray","Weiss","1979-07-21","2010-09-07 00:06:40","2","2","admin","11","2010-07-05 15:49:34","0"
"1671","lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis at lacus. Quisque purus sapien,","2013-02-04 05:14:07","37","13","37","Nullam.vitae@Fuscefermentum.ed","Gray","Weiss","1979-07-21","2010-09-07 00:06:40","2","2","admin","13","2010-07-23 11:27:10","0"
"1721","diam vel arcu. Curabitur ut odio vel est tempor bibendum. Donec felis orci,","2011-04-20 09:29:30","37","12","37","Nullam.vitae@Fuscefermentum.ed","Gray","Weiss","1979-07-21","2010-09-07 00:06:40","2","2","admin","12","2009-01-30 14:10:00","0"
"1893","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","2010-01-31 09:39:39","37","7","37","Nullam.vitae@Fuscefermentum.ed","Gray","Weiss","1979-07-21","2010-09-07 00:06:40","2","2","admin","7","2009-08-20 00:00:00","0"
"830","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","2010-02-05 06:48:38","38","7","38","natoque.penatibus@feugiatplace","Bell","Cervantes","1979-09-22","2010-09-29 01:30:00","2","2","admin","7","2009-08-20 00:00:00","0"
"869","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis at lacus. Quisque purus sapien, gravida non,","2011-04-01 19:40:07","38","6","38","natoque.penatibus@feugiatplace","Bell","Cervantes","1979-09-22","2010-09-29 01:30:00","2","2","admin","6","2009-03-05 00:00:00","0"
"1072","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper.","2010-12-08 18:57:44","38","6","38","natoque.penatibus@feugiatplace","Bell","Cervantes","1979-09-22","2010-09-29 01:30:00","2","2","admin","6","2009-03-05 00:00:00","0"
"1301","Quisque porttitor eros nec tellus. Nunc lectus pede, ultrices a, auctor non, feugiat nec, diam. Duis mi enim, condimentum eget, volutpat ornare, facilisis eget, ipsum.","2009-06-16 09:32:48","38","10","38","natoque.penatibus@feugiatplace","Bell","Cervantes","1979-09-22","2010-09-29 01:30:00","2","2","admin","10","2011-03-31 05:58:52","0"
"1338","nostra, per inceptos hymenaeos. Mauris ut quam vel sapien imperdiet ornare. In faucibus. Morbi vehicula. Pellentesque tincidunt tempus risus. Donec egestas. Duis ac arcu. Nunc mauris. Morbi non","2010-08-26 02:39:41","38","9","38","natoque.penatibus@feugiatplace","Bell","Cervantes","1979-09-22","2010-09-29 01:30:00","2","2","admin","9","2009-08-27 15:14:05","0"
"1403","fringilla mi lacinia mattis. Integer eu lacus. Quisque imperdiet, erat nonummy ultricies ornare, elit elit fermentum risus, at fringilla purus mauris a nunc. In","2010-07-16 17:32:27","38","8","38","natoque.penatibus@feugiatplace","Bell","Cervantes","1979-09-22","2010-09-29 01:30:00","2","2","admin","8","2011-02-21 23:00:35","0"
